date,gamePk,model_version,matchup,pick_team,opp_team,status,result,model_prob,pitcher_gap,pick_pitcher,pick_pitcher_score,opp_pitcher,opp_pitcher_score,pick_era,opp_era,pick_whip,opp_whip,pick_hr9,opp_hr9,pick_woba,opp_woba,pick_bullpen_risk,opp_bullpen_risk,pick_team_strength_blend,opp_team_strength_blend,woba_diff,bullpen_gap,pitcher_boost,pre_bullpen_odds,pre_bullpen_prob,bullpen_adj,money_line_odds,moneyline_prop
8/1/2026,824972,leo,Detroit Tigers @ Athletics,Detroit Tigers,Athletics,watchlist,W,0.63415,11,,58,,47,4.04,6.53,1.38,1.36,0.95,1.45,0,0,78,92,,,0,14,1.6454,3.179541012,0.7607,0.042,3.315925766,0.7683
8/1/2026,824162,leo,Texas Rangers @ Houston Astros,Houston Astros,Texas Rangers,pass,W,0.58335,-32,,42,,74,4.19,4.4,1.2,1.07,3.6,1.31,0,0,55,82,,,0,27,1.0429,1.844664069,0.6485,0.081,2.00030003,0.6667
8/1/2026,823109,leo,Minnesota Twins @ Seattle Mariners,Minnesota Twins,Seattle Mariners,pass,L,0.5761,-21,,58,,79,2.08,3.71,1.3,0.99,1,1.07,0,0,53,64,,,0,11,1.3854,1.81434344,0.6447,0.033,1.875215641,0.6522
8/1/2026,824808,leo,Philadelphia Phillies @ Baltimore Orioles,Baltimore Orioles,Philadelphia Phillies,pass,L,0.5697,-19,,62,,81,2.94,3.28,1.39,1.2,0.66,0.78,0,0,48,65,,,0,17,1.0704,1.684992185,0.6276,0.051,1.773155851,0.6394
8/1/2026,822781,leo,St. Louis Cardinals @ Toronto Blue Jays,Toronto Blue Jays,St. Louis Cardinals,pass,W,0.5632,12,,62,,50,2.86,3.79,1.27,,1.11,,0,0,54,86,,,0,32,1.2044,1.523184849,0.6037,0.096,1.676659529,0.6264
8/1/2026,823269,leo,San Francisco Giants @ San Diego Padres,San Diego Padres,San Francisco Giants,pass,W,0.55155,-1,,53,,54,3.75,3.9,1.41,1.4,1.17,1.31,0,0,86,61,,,0,-25,1.0305,1.637873347,0.6209,-0.075,1.519526329,0.6031
8/1/2026,823594,leo,Miami Marlins @ New York Mets,New York Mets,Miami Marlins,pass,L,0.52815,19,,79,,60,2.99,3.63,0.91,1.36,0.61,1.07,0,0,46,48,,,0,2,1.1366,1.246274946,0.5548,0.006,1.253775073,0.5563
8/1/2026,824405,leo,Arizona Diamondbacks @ Cleveland Guardians,Arizona Diamondbacks,Cleveland Guardians,pass,W,0.5136,-35,,48,,83,4.48,3.33,1.44,1.04,2,0.79,0,0,44,56,,,0,12,0.7945,1.075631055,0.5182,0.036,1.115059222,0.5272
8/1/2026,823920,leo,Boston Red Sox @ Los Angeles Dodgers,Boston Red Sox,Los Angeles Dodgers,pass,W,0.49975,-12,,74,,86,2.9,3.89,1.11,0.9,1.04,0.93,0,0,59,100,,,0,41,1.219,0.882496902,0.4688,0.123,0.998001998,0.4995
8/1/2026,824649,leo,New York Yankees @ Chicago Cubs,Chicago Cubs,New York Yankees,pass,W,0.49385,-28,,46,,74,3.5,2.52,1.52,1.02,0.95,0.13,0,0,59,66,,,0,7,0.822,0.932198105,0.4825,0.021,0.951981261,0.4877
8/1/2026,824485,leo,Pittsburgh Pirates @ Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,pass,W,0.4856,8,,69,,61,3.46,4.34,1.19,,1.18,,0,0,90,87,,,0,-3,1.1924,0.899129994,0.4734,-0.009,0.89107413,0.4712
8/1/2026,824326,leo,Kansas City Royals @ Colorado Rockies,Colorado Rockies,Kansas City Royals,pass,W,0.4818,-10,,47,,57,5.37,4.68,1.46,1.57,1.91,0.8,0,0,33,48,,,0,15,0.8711,0.826249874,0.4524,0.045,0.864280388,0.4636
8/1/2026,822944,leo,Chicago White Sox @ Tampa Bay Rays,Chicago White Sox,Tampa Bay Rays,pass,L,0.4642,-22,,57,,79,1.94,2.08,1.48,0.93,0.29,0.97,0,0,65,74,,,0,9,1.0284,0.72951007,0.4218,0.027,0.749475157,0.4284
8/1/2026,824000,leo,Milwaukee Brewers @ Los Angeles Angels,Los Angeles Angels,Milwaukee Brewers,pass,L,0.44205,26,,86,,60,2.89,4.37,1.26,1.17,1.03,1.73,0,0,87,77,,,0,-10,1.3445,0.642632873,0.3912,-0.03,0.623640201,0.3841
8/2/2026,823919,leo,Boston Red Sox @ Los Angeles Dodgers,Boston Red Sox,Los Angeles Dodgers,pass,W,0.51675,20,,79,,59,3.08,4.97,0.97,1.25,0.69,1.65,0,0,52,76,,,0,24,1.4594,1.064176276,0.5155,0.072,1.143622722,0.5335
8/3/2026,823520,leo,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,watchlist,L,0.62985,19,,87,,68,2.71,4.99,0.91,,0.79,,0,0,64,81,,,0,17,1.5778,3.004272601,0.7503,0.051,3.161464836,0.7597
8/3/2026,823757,leo,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Pittsburgh Pirates,pass,L,0.5921,-2,,53,,55,4.57,4.28,1.39,1.41,1.65,0.86,0,0,68,92,,,0,24,0.9436,2.016052055,0.6684,0.072,2.166561115,0.6842
