date,gamePk,model_version,matchup,away_team,home_team,pick_team,status,winner,home_model_prob,home_pitcher_gap,home_pitcher,home_pitcher_score,away_pitcher,away_pitcher_score,home_era,away_era,home_woba,away_woba,home_bullpen_risk,away_bullpen_risk,home_strength_blend,away_strength_blend,home_woba_gap,home_bullpen_gap,home_pitcher_boost,home_pre_bullpen_odds,home_pre_bullpen_prob,home_bullpen_adj,home_money_line_odds,home_moneyline_prop
8/1/2026,824972,leo,Detroit Tigers @ Athletics,Detroit Tigers,Athletics,away team,watchlist,away,0.3659,-11.0,,47.0,,58.0,6.53,4.04,0.0,0.0,92.0,78.0,,,0.0,-14.0,0.192,0.3146,0.2393,-0.042,0.577,0.3659
8/1/2026,824162,leo,Texas Rangers @ Houston Astros,Texas Rangers,Houston Astros,home team,pass,home,0.5834,-32.0,,42.0,,74.0,4.19,4.4,0.0,0.0,55.0,82.0,,,0.0,27.0,0.0498,1.845,0.6485,0.081,1.4004,0.5834
8/1/2026,823109,leo,Minnesota Twins @ Seattle Mariners,Minnesota Twins,Seattle Mariners,away team,pass,home,0.4239,21.0,,79.0,,58.0,3.71,2.08,0.0,0.0,64.0,53.0,,,0.0,-11.0,20.0855,0.5511,0.3553,-0.033,0.7358,0.4239
8/1/2026,824808,leo,Philadelphia Phillies @ Baltimore Orioles,Philadelphia Phillies,Baltimore Orioles,home team,pass,away,0.5697,-19.0,,62.0,,81.0,2.94,3.28,0.0,0.0,48.0,65.0,,,0.0,17.0,0.0578,1.6853,0.6276,0.051,1.324,0.5697
8/1/2026,822781,leo,St. Louis Cardinals @ Toronto Blue Jays,St. Louis Cardinals,Toronto Blue Jays,home team,pass,home,0.5632,12.0,,62.0,,50.0,2.86,3.79,0.0,0.0,54.0,86.0,,,0.0,32.0,6.0496,1.5233,0.6037,0.096,1.2894,0.5632
8/1/2026,823269,leo,San Francisco Giants @ San Diego Padres,San Francisco Giants,San Diego Padres,home team,pass,home,0.5515,-1.0,,53.0,,54.0,3.75,3.9,0.0,0.0,86.0,61.0,,,0.0,-25.0,0.8607,1.6378,0.6209,-0.075,1.2297,0.5515
8/1/2026,823594,leo,Miami Marlins @ New York Mets,Miami Marlins,New York Mets,home team,pass,away,0.5282,19.0,,79.0,,60.0,2.99,3.63,0.0,0.0,46.0,48.0,,,0.0,2.0,17.2878,1.2462,0.5548,0.006,1.1195,0.5282
8/1/2026,824405,leo,Arizona Diamondbacks @ Cleveland Guardians,Arizona Diamondbacks,Cleveland Guardians,away team,pass,away,0.4864,35.0,,83.0,,48.0,3.33,4.48,0.0,0.0,56.0,44.0,,,0.0,-12.0,20.0855,0.9298,0.4818,-0.036,0.947,0.4864
8/1/2026,823920,leo,Boston Red Sox @ Los Angeles Dodgers,Boston Red Sox,Los Angeles Dodgers,away team,pass,away,0.5002,12.0,,86.0,,74.0,3.89,2.9,0.0,0.0,100.0,59.0,,,0.0,-41.0,6.0496,1.1331,0.5312,-0.123,1.0008,0.5002
8/1/2026,824649,leo,New York Yankees @ Chicago Cubs,New York Yankees,Chicago Cubs,home team,pass,home,0.4939,-28.0,,46.0,,74.0,3.5,2.52,0.0,0.0,59.0,66.0,,,0.0,7.0,0.0498,0.9324,0.4825,0.021,0.9759,0.4939
8/1/2026,824485,leo,Pittsburgh Pirates @ Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,away team,pass,away,0.5144,-8.0,,61.0,,69.0,4.34,3.46,0.0,0.0,87.0,90.0,,,0.0,3.0,0.3012,1.1124,0.5266,0.009,1.0593,0.5144
8/1/2026,824326,leo,Kansas City Royals @ Colorado Rockies,Kansas City Royals,Colorado Rockies,home team,pass,home,0.4818,-10.0,,47.0,,57.0,5.37,4.68,0.0,0.0,33.0,48.0,,,0.0,15.0,0.2231,0.8262,0.4524,0.045,0.9298,0.4818
8/1/2026,822944,leo,Chicago White Sox @ Tampa Bay Rays,Chicago White Sox,Tampa Bay Rays,away team,pass,home,0.5358,22.0,,79.0,,57.0,2.08,1.94,0.0,0.0,74.0,65.0,,,0.0,-9.0,20.0855,1.3708,0.5782,-0.027,1.1542,0.5358
8/1/2026,824000,leo,Milwaukee Brewers @ Los Angeles Angels,Milwaukee Brewers,Los Angeles Angels,home team,pass,away,0.442,26.0,,86.0,,60.0,2.89,4.37,0.0,0.0,87.0,77.0,,,0.0,-10.0,20.0855,0.6426,0.3912,-0.03,0.7921,0.442
