date,gamePk,matchup,pick_team,opp_team,status,result,lab_score_published,model_prob,strength_prob_pick,run_prob_pick,pick_pitcher_score,opp_pitcher_score,pick_bullpen_risk,opp_bullpen_risk,assigned_bullpen_innings,pick_woba_15d,opp_woba_15d,pick_woba_30d,opp_woba_30d,pitch_gap,pitch_edge_supports
08/13/2026,824238,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,Cleveland Guardians,pass,W,61,0.6213,0.7426,0.7703,,,49,78,3.3,0.3482,0.3213,0.3419,0.309,6,FALSE
08/13/2026,822776,Boston Red Sox @ Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays,pass,W,53,0.5587,0.3826,,,,68,80,3.6,0.3565,0.2884,0.3458,0.2824,6,TRUE
08/13/2026,823508,Seattle Mariners @ New York Yankees,New York Yankees,Seattle Mariners,pass,L,53,0.6274,0.7548,,,,67,71,3.2,0.2905,0.2775,0.2842,0.2891,1,FALSE
08/13/2026,822696,Chicago Cubs @ Washington Nationals,Chicago Cubs,Washington Nationals,pass,L,42,0.5744,0.3511,0.4448,,,56,80,3.4,0.3298,0.3175,0.347,0.3516,8,FALSE
08/13/2026,823829,Pittsburgh Pirates @ Miami Marlins,Miami Marlins,Pittsburgh Pirates,pass,L,39,0.5564,0.6128,,,,46,64,4.4,0.3163,0.2902,0.3048,0.2948,11,FALSE
08/13/2026,823669,Philadelphia Phillies @ Minnesota Twins,Minnesota Twins,Philadelphia Phillies,pass,L,38,0.5349,0.5698,0.3697,,,58,68,3.3,0.3085,0.3347,0.3002,0.3233,16,TRUE
08/13/2026,823915,Milwaukee Brewers @ Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,pass,W,32,0.5344,0.4311,0.3715,,,56,70,3.7,0.3024,0.3096,0.3172,0.3147,4,TRUE
08/13/2026,824561,Cincinnati Reds @ Chicago White Sox,Chicago White Sox,Cincinnati Reds,pass,L,30,0.5611,0.6222,0.7361,,,74,62,3.8,0.3092,0.3053,0.3074,0.3076,2,FALSE
08/13/2026,823995,Texas Rangers @ Los Angeles Angels,Los Angeles Angels,Texas Rangers,pass,W,13,0.5003,0.5005,0.2868,,,88,55,3.7,0.2641,0.2659,0.2766,0.3,3,FALSE
08/14/2026,824643,St. Louis Cardinals @ Chicago Cubs,Chicago Cubs,St. Louis Cardinals,watchlist,W,69,0.5877,0.6754,0.9435,,,55,53,3.5,0.3343,0.3052,0.345,0.2863,20,TRUE
08/14/2026,822942,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,pass,L,59,0.5978,0.6957,0.324,,,52,67,4.4,0.3447,0.3172,0.3287,0.3067,8,TRUE
08/14/2026,824237,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Chicago White Sox,pass,L,56,0.5799,0.6597,0.7999,,,44,95,4,0.3541,0.3123,0.3419,0.3074,8,FALSE
08/14/2026,823346,Boston Red Sox @ Pittsburgh Pirates,Boston Red Sox,Pittsburgh Pirates,pass,L,55,0.5379,0.4243,0.1023,,,53,44,3.1,0.3555,0.2968,0.3458,0.2948,19,TRUE
08/14/2026,824882,Arizona Diamondbacks @ Atlanta Braves,Atlanta Braves,Arizona Diamondbacks,pass,L,53,0.5824,0.6647,0.5138,,,59,45,3.1,0.342,0.3359,0.3415,0.3438,16,TRUE
08/14/2026,824968,Texas Rangers @ Athletics,Texas Rangers,Athletics,pass,L,51,0.6229,0.2542,0.3383,,,100,73,4.1,0.2714,0.2791,0.3,0.3043,8,TRUE
08/14/2026,823993,Kansas City Royals @ Los Angeles Angels,Kansas City Royals,Los Angeles Angels,pass,W,50,0.5058,0.4883,0.3968,,,63,77,3.4,0.2881,0.2594,0.2981,0.2766,22,TRUE
08/14/2026,822777,New York Yankees @ Toronto Blue Jays,New York Yankees,Toronto Blue Jays,pass,L,47,0.5355,0.4291,,,,76,78,3.2,0.2946,0.2828,0.2842,0.2824,34,TRUE
08/14/2026,823591,Washington Nationals @ New York Mets,Washington Nationals,New York Mets,pass,L,45,0.5147,0.4707,0.1418,,,60,59,4.3,0.3211,0.3259,0.3516,0.3246,26,TRUE
08/14/2026,823913,Milwaukee Brewers @ Los Angeles Dodgers,Los Angeles Dodgers,Milwaukee Brewers,pass,W,43,0.5207,0.5413,0.559,,,65,67,2.4,0.3071,0.3026,0.3147,0.3172,27,TRUE
