date,gamePk,matchup,pick_team,opp_team,status,result,lab_score_published,model_prob,strength_prob_pick,run_prob_pick,pitch_gap,pitch_edge_supports,pick_bullpen_risk,opp_bullpen_risk,assigned_bullpen_innings,pick_woba_15d,opp_woba_15d,pick_woba_30d,opp_woba_30d
2026-08-22,825044,Cincinnati Reds @ Arizona Diamondbacks,Arizona Diamondbacks,Cincinnati Reds,official_pick,,93,0.7419,0.9839,0.89,26,TRUE,64,81,3.6,0.3492,0.2552,0.3351,0.2846
2026-08-22,823261,Minnesota Twins @ San Diego Padres,San Diego Padres,Minnesota Twins,official_pick,,81,0.7419,0.9839,0.8691,19,TRUE,39,57,3.6,0.3444,0.3254,0.3356,0.3019
2026-08-22,823831,Washington Nationals @ Miami Marlins,Miami Marlins,Washington Nationals,value_watch,,78,0.7424,0.9849,0.649,26,TRUE,67,81,3.5,0.3331,0.3041,0.3191,0.3143
2026-08-22,823910,Pittsburgh Pirates @ Los Angeles Dodgers,Los Angeles Dodgers,Pittsburgh Pirates,watchlist,,72,0.7446,0.9892,0.6169,21,TRUE,68,70,3,0.3077,0.3179,0.3178,0.296
2026-08-22,823509,Toronto Blue Jays @ New York Yankees,Toronto Blue Jays,New York Yankees,watchlist,,71,0.6951,0.8902,,12,TRUE,70,60,3.1,0.3281,0.2909,0.3123,0.2824
2026-08-22,823743,Atlanta Braves @ Milwaukee Brewers,Milwaukee Brewers,Atlanta Braves,watchlist,,69,0.7137,0.9274,0.7169,10,TRUE,76,51,3.9,0.3232,0.2654,0.3254,0.2974
2026-08-22,824316,Cleveland Guardians @ Colorado Rockies,Cleveland Guardians,Colorado Rockies,watchlist,,68,0.7437,0.9874,0.6158,26,TRUE,65,67,3.2,0.3168,0.3105,0.2957,0.315
2026-08-22,824560,New York Mets @ Chicago White Sox,New York Mets,Chicago White Sox,watchlist,,65,0.7009,0.9018,0.5837,12,TRUE,44,75,4.3,0.3183,0.3425,0.3196,0.3209
2026-08-22,822858,Los Angeles Angels @ Texas Rangers,Texas Rangers,Los Angeles Angels,pass,,64,0.7383,0.9765,,24,TRUE,68,36,3.9,0.2697,0.2766,0.2895,0.2745
2026-08-22,824151,Athletics @ Houston Astros,Houston Astros,Athletics,pass,,64,0.7231,0.9462,0.6726,15,TRUE,75,75,3.7,0.2778,0.3104,0.3199,0.2918
