date,gamePk,side,team,pitcher_id,pitcher_name,role_label,era,whip,ip,so,bb,gs,gp,k9,bb9,era_score,whip_score,kbb_score,sample_score,raw_score,expected_innings,role_share_over5,pitcher_score_role_over5,pitcher_score_published
8/15/2026,824400,away,San Diego Padres,593974,Wandy Peralta,Opener / bullpen game,3.48,1.4,62,39,22,5,54,5.66,3.19,76.3,55,39.5,56.7,61,1,0.2,52,86
8/15/2026,824400,home,Cleveland Guardians,676282,Joey Cantillo,Traditional starter,3.83,1.45,124.67,138,59,26,26,9.96,4.26,70.7,50.5,50.3,70,61,4.8,0.96,61,61
8/15/2026,824239,away,Chicago White Sox,641743,Anthony Kay,Traditional starter,4.01,1.34,121.33,98,44,23,25,7.27,3.26,67.8,60.4,45.5,70,62,5,1,62,62
8/15/2026,824239,home,Detroit Tigers,675512,Troy Melton,Traditional starter,1.71,0.97,84.33,73,25,14,14,7.79,2.67,92,92,51.2,64.5,80,6,1.2,86,86
8/15/2026,823347,away,Boston Red Sox,543243,Sonny Gray,Traditional starter,2.7,1.14,130,115,33,23,23,7.96,2.28,88.8,78.4,54.1,70,76,5.6,1.12,79,79
8/15/2026,823347,home,Pittsburgh Pirates,683003,Jared Jones,Traditional starter,4.78,1.2,64,72,21,14,14,10.13,2.95,55.5,73,58.8,57.4,61,4.6,0.92,60,60
8/15/2026,823671,away,Philadelphia Phillies,666200,Jesús Luzardo,Traditional starter,3.21,1.14,148.67,183,45,25,25,11.08,2.72,80.6,78.4,64,70,75,5.9,1.18,80,80
8/15/2026,823671,home,Minnesota Twins,687570,Connor Prielipp,Traditional starter,5.34,1.38,87.67,94,36,17,17,9.65,3.7,46.6,56.8,52.4,65.7,53,5.2,1.04,53,53
8/15/2026,823914,away,Milwaukee Brewers,694819,Jacob Misiorowski,Traditional starter,1.77,0.75,137.67,208,30,23,23,13.6,1.96,92,92,78.6,70,86,6,1.2,92,92
8/15/2026,823914,home,Los Angeles Dodgers,680736,Justin Wrobleski,Traditional starter,3.59,1.11,125.33,99,28,20,21,7.11,2.01,74.6,81.1,52.4,70,71,6.1,1.22,76,75
8/15/2026,824644,away,St. Louis Cardinals,700241,Michael McGreevy,Traditional starter,3.48,1.22,132,91,34,24,24,6.2,2.32,76.3,71.2,46.9,70,68,5.5,1.1,70,70
8/15/2026,824644,home,Chicago Cubs,571510,Matthew Boyd,Traditional starter,4.02,1.24,85,68,26,15,15,7.2,2.75,67.7,69.4,48.3,64.8,64,5.7,1.14,66,66
8/15/2026,822941,away,Baltimore Orioles,680694,Kyle Bradish,Traditional starter,3.65,1.36,133,124,58,24,24,8.39,3.92,73.6,58.6,46,70,64,5.5,1.1,65,66
8/15/2026,822941,home,Tampa Bay Rays,693855,Ian Seymour,Traditional starter,4.11,1.13,96.33,115,31,10,39,10.74,2.9,66.2,79.3,61.6,68.7,69,4.7,0.94,68,68
8/15/2026,824157,away,Seattle Mariners,676106,Emerson Hancock,Traditional starter,3.38,1.13,125,116,31,23,23,8.35,2.23,77.9,79.3,56,70,73,5.4,1.08,75,75
8/15/2026,824157,home,Houston Astros,669713,Hayden Wesneski,Traditional starter,5.16,1.32,22.67,18,7,4,4,7.15,2.78,49.4,62.2,47.9,42.9,51,5.7,1.14,51,51
8/15/2026,822775,away,New York Yankees,693645,Cam Schlittler,Traditional starter,2.19,0.94,152,189,34,26,26,11.19,2.01,92,92,68.7,70,84,5.8,1.16,89,90
8/15/2026,822775,home,Toronto Blue Jays,680755,Braydon Fisher,Opener / bullpen game,3.48,1.23,62,57,34,8,59,8.27,4.94,76.3,70.3,39.5,56.7,65,1.1,0.22,53,77
8/15/2026,824480,away,Miami Marlins,687473,Ryan Gusto,Limited starter,4.7,1.32,53.67,49,14,11,16,8.22,2.35,56.8,62.2,54.8,53.8,57,4,0.8,56,56
8/15/2026,824480,home,Cincinnati Reds,663903,Brady Singer,Traditional starter,4.66,1.44,125.67,104,42,24,24,7.45,3.01,57.4,51.4,47.7,70,56,5.2,1.04,56,56
8/15/2026,823184,away,Colorado Rockies,547179,Michael Lorenzen,Traditional starter,7.08,1.88,115.67,82,49,25,26,6.38,3.81,20,20,38.6,70,31,4.6,0.92,33,33
8/15/2026,823184,home,San Francisco Giants,657277,Logan Webb,Traditional starter,3.5,1.06,139,110,32,22,22,7.12,2.07,76,85.6,52.1,70,73,6.3,1.26,79,78
8/15/2026,823990,away,Kansas City Royals,677976,Randy Dobnak,Traditional starter,2,1.33,36,19,14,5,7,4.75,3.5,92,61.3,34,47.6,66,5.3,1.06,67,67
8/15/2026,823990,home,Los Angeles Angels,672282,Reid Detmers,Traditional starter,4,1.1,135,156,43,24,24,10.4,2.87,68,82,60.4,70,70,5.6,1.12,72,73
8/15/2026,824966,away,Texas Rangers,669022,MacKenzie Gore,Traditional starter,4.43,1.24,134,149,49,25,25,10.01,3.29,61.1,69.4,56.3,70,64,5.4,1.08,65,65
8/15/2026,824966,home,Athletics,669372,J.T. Ginn,Traditional starter,3.41,1.21,121.33,107,53,21,24,7.94,3.93,77.4,72.1,44.2,70,68,5.4,1.08,69,70
8/15/2026,823588,away,Washington Nationals,695418,Brad Lord,Opener / bullpen game,4.04,1.25,62.33,57,25,3,30,8.23,3.61,67.4,68.5,47.3,56.8,62,1.9,0.38,55,66
