date,gamePk,model_version,matchup,away_team,home_team,pick_team,status,winner,home_model_prob,home_pitcher_gap,home_pitcher,home_pitcher_score,away_pitcher,away_pitcher_score,home_era,away_era,home_woba,away_woba,home_bullpen_risk,away_bullpen_risk,home_strength_blend,away_strength_blend,home_woba_gap,home_bullpen_gap,home_pitcher_boost,home_pre_bullpen_odds,home_pre_bullpen_prob,home_bullpen_adj,home_money_line_odds,home_moneyline_prop
8/15/2026,824400,leo,San Diego Padres @ Cleveland Guardians,San Diego Padres,Cleveland Guardians,away team,official_pick,,0.273,-25,Joey Cantillo,61,Wandy Peralta,86,4.98,2.89,0.3221,0.3439,87,47,0.5689,0.3914,-0.0218,-40,0.0498,0.4235,0.2975,-0.12,0.3755,0.273
8/15/2026,824239,leo,Chicago White Sox @ Detroit Tigers,Chicago White Sox,Detroit Tigers,home team,watchlist,,0.641,24,Troy Melton,86,Anthony Kay,62,3.35,4.42,0.3493,0.3364,54,100,0.5567,0.5105,0.0129,46,20.0855,1.5556,0.6087,0.138,1.7855,0.641
8/15/2026,823347,leo,Boston Red Sox @ Pittsburgh Pirates,Boston Red Sox,Pittsburgh Pirates,away team,pass,,0.4348,-19,Jared Jones,60,Sonny Gray,79,4.04,3.31,0.3008,0.3519,51,58,0.5534,0.4657,-0.0511,7,0.0578,0.7532,0.4296,0.021,0.7693,0.4348
8/15/2026,823671,leo,Philadelphia Phillies @ Minnesota Twins,Philadelphia Phillies,Minnesota Twins,away team,pass,,0.4386,-27,Connor Prielipp,53,Jesús Luzardo,80,3.8,3.34,0.3239,0.339,59,66,0.5111,0.4561,-0.0151,7,0.0498,0.7649,0.4334,0.021,0.7813,0.4386
8/15/2026,823914,leo,Milwaukee Brewers @ Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,away team,pass,,0.4815,-17,Justin Wrobleski,75,Jacob Misiorowski,92,4.25,2.49,0.3051,0.2998,70,51,0.577,0.5829,0.0053,-19,0.0781,0.9829,0.4957,-0.057,0.9286,0.4815
8/15/2026,824644,leo,St. Louis Cardinals @ Chicago Cubs,St. Louis Cardinals,Chicago Cubs,home team,pass,,0.6243,-4,Matthew Boyd,66,Michael McGreevy,70,3.9,4.19,0.332,0.3153,46,51,0.607,0.5393,0.0167,5,0.5488,1.6371,0.6208,0.015,1.6617,0.6243
8/15/2026,822941,leo,Baltimore Orioles @ Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,home team,pass,,0.6721,2,Ian Seymour,68,Kyle Bradish,66,4.04,4.62,0.3383,0.3196,78,67,0.6535,0.4767,0.0187,-11,1.3499,2.1182,0.6793,-0.033,2.0497,0.6721
8/15/2026,824157,leo,Seattle Mariners @ Houston Astros,Seattle Mariners,Houston Astros,home team,pass,,0.5849,-24,Hayden Wesneski,51,Emerson Hancock,75,3.32,5.33,0.3347,0.2904,73,81,0.4793,0.3916,0.0443,8,0.0498,1.3759,0.5791,0.024,1.4091,0.5849
8/15/2026,822775,leo,New York Yankees @ Toronto Blue Jays,New York Yankees,Toronto Blue Jays,away team,pass,,0.4856,-13,Braydon Fisher,77,Cam Schlittler,90,3.45,3.08,0.2878,0.287,67,58,0.57,0.5109,0.0008,-9,0.1423,0.9701,0.4924,-0.027,0.944,0.4856
8/15/2026,824480,leo,Miami Marlins @ Cincinnati Reds,Miami Marlins,Cincinnati Reds,away team,pass,,0.4105,0,Brady Singer,56,Ryan Gusto,56,4.85,4.05,0.3039,0.3064,75,48,0.4582,0.4698,-0.0025,-27,1,0.755,0.4302,-0.081,0.6964,0.4105
