date,game_pk,game,pick_team,direction_winner,direction_correct,submodel_strength_right,submodel_run_right,starter_favored_team,starter_gap,starter_held_up,starter_favored_era,starter_other_era,away_team,away_proj_runs,away_actual_runs,away_offense_diff,home_team,home_proj_runs,home_actual_runs,home_offense_diff,away_bullpen_flagged,away_bullpen_actual_er,away_bullpen_actual_era,home_bullpen_flagged,home_bullpen_actual_er,home_bullpen_actual_era,matchup_url
2026-08-03,823520,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,0,0,,New York Yankees,18,0,12,4.15,St. Louis Cardinals,,,,New York Yankees,,,,1,5,9.64,0,9,13.5,/mlb/cardinals-vs-yankees-prediction-odds-2026-08-03/
2026-08-03,823757,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Pittsburgh Pirates,0,0,1,No clear pitching-plan edge,3,1,3.18,12,Pittsburgh Pirates,7.5,4,-3.5,Milwaukee Brewers,4,3,-1,1,0,0,0,0,0,/mlb/pirates-vs-brewers-prediction-odds-2026-08-03/
2026-08-03,824160,Toronto Blue Jays @ Houston Astros,Houston Astros,Toronto Blue Jays,0,0,,Houston Astros,27,0,4.5,1.59,Toronto Blue Jays,,,,Houston Astros,,,,0,0,0,1,0,0,/mlb/blue-jays-vs-astros-prediction-odds-2026-08-03/
2026-08-03,823431,Washington Nationals @ Philadelphia Phillies,Washington Nationals,Philadelphia Phillies,0,0,,,,,,,Washington Nationals,,,,Philadelphia Phillies,,,,0,4,21.6,0,3,3,/mlb/nationals-vs-phillies-prediction-odds-2026-08-03/
2026-08-03,824324,Tampa Bay Rays @ Colorado Rockies,Tampa Bay Rays,Tampa Bay Rays,1,1,1,Tampa Bay Rays,49,1,3,21,Tampa Bay Rays,3,13,10,Colorado Rockies,2.8,9,6.2,0,6,18,0,4,6,/mlb/rays-vs-rockies-prediction-odds-2026-08-03/
2026-08-03,824647,Los Angeles Dodgers @ Chicago Cubs,Chicago Cubs,Chicago Cubs,1,1,1,Los Angeles Dodgers,10,0,14.54,5.4,Los Angeles Dodgers,2.5,5,2.5,Chicago Cubs,4.6,10,5.4,1,3,7.36,0,0,0,/mlb/dodgers-vs-cubs-prediction-odds-2026-08-03/
2026-08-03,825095,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,Arizona Diamondbacks,0,0,0,No clear pitching-plan edge,3,1,0,5.4,San Diego Padres,6.6,1,-5.6,Arizona Diamondbacks,3.6,5,1.4,1,2,6,1,0,0,/mlb/padres-vs-diamondbacks-prediction-odds-2026-08-03/
2026-08-03,822867,San Francisco Giants @ Texas Rangers,San Francisco Giants,San Francisco Giants,1,1,1,San Francisco Giants,18,1,0,1.5,San Francisco Giants,4.8,5,0.2,Texas Rangers,3.5,1,-2.5,0,1,3,1,2,6,/mlb/giants-vs-rangers-prediction-odds-2026-08-03/
2026-08-02,823919,Boston Red Sox @ Los Angeles Dodgers,Boston Red Sox,Boston Red Sox,1,1,1,Boston Red Sox,22,1,4.76,16.88,Boston Red Sox,6.3,8,1.7,Los Angeles Dodgers,2.3,4,1.7,0,1,2.7,1,2,2.84,/mlb/red-sox-vs-dodgers-prediction-odds-2026-08-02/
2026-08-04,823756,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers,1,1,0,Milwaukee Brewers,12,1,3,6.75,Pittsburgh Pirates,5.4,2,-3.4,Milwaukee Brewers,3.2,4,0.8,1,1,2.25,1,0,0,/mlb/pirates-vs-brewers-prediction-odds-2026-08-04/
2026-08-04,824484,Athletics @ Cincinnati Reds,Cincinnati Reds,Cincinnati Reds,1,1,,Athletics,12,1,4.5,4.5,Athletics,,,,Cincinnati Reds,,,,1,2,9,1,0,0,/mlb/athletics-vs-reds-prediction-odds-2026-08-04/
2026-08-04,824161,Toronto Blue Jays @ Houston Astros,Houston Astros,Houston Astros,1,1,,Toronto Blue Jays,7,1,0,3,Toronto Blue Jays,,,,Houston Astros,,,,0,7,10.5,0,0,0,/mlb/blue-jays-vs-astros-prediction-odds-2026-08-04/
2026-08-04,823517,St. Louis Cardinals @ New York Yankees,New York Yankees,New York Yankees,1,1,,New York Yankees,7,1,0,2.84,St. Louis Cardinals,,,,New York Yankees,,,,1,0,0,1,0,0,/mlb/cardinals-vs-yankees-prediction-odds-2026-08-04/
2026-08-04,824731,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Boston Red Sox,1,1,1,Chicago White Sox,8,0,16.2,3.6,Chicago White Sox,2.8,2,-0.8,Boston Red Sox,4.6,14,9.4,0,4,12,0,0,0,/mlb/white-sox-vs-red-sox-prediction-odds-2026-08-04/
2026-08-04,825054,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,San Diego Padres,0,0,1,Arizona Diamondbacks,17,0,7.94,0,San Diego Padres,6.5,9,2.5,Arizona Diamondbacks,5.2,4,-1.2,1,4,12,0,2,5.4,/mlb/padres-vs-diamondbacks-prediction-odds-2026-08-04/
2026-08-04,823108,Detroit Tigers @ Seattle Mariners,Detroit Tigers,Detroit Tigers,1,1,1,Detroit Tigers,9,1,0,4.5,Detroit Tigers,6.5,8,1.5,Seattle Mariners,3.8,0,-3.8,0,0,0,0,4,12,/mlb/tigers-vs-mariners-prediction-odds-2026-08-04/
2026-08-04,824805,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Baltimore Orioles,1,1,0,Baltimore Orioles,21,1,0,2.57,Los Angeles Angels,5.1,1,-4.1,Baltimore Orioles,4.7,3,-1.7,0,1,9,0,1,3,/mlb/angels-vs-orioles-prediction-odds-2026-08-04/
2026-08-04,824645,Los Angeles Dodgers @ Chicago Cubs,Chicago Cubs,Chicago Cubs,1,1,1,Los Angeles Dodgers,18,0,3,1.59,Los Angeles Dodgers,3.3,1,-2.3,Chicago Cubs,4.7,5,0.3,1,3,13.5,0,0,0,/mlb/dodgers-vs-cubs-prediction-odds-2026-08-04/
2026-08-04,824321,Tampa Bay Rays @ Colorado Rockies,Tampa Bay Rays,Tampa Bay Rays,1,1,0,Colorado Rockies,12,1,8.44,17.18,Tampa Bay Rays,2.4,9,,Colorado Rockies,4.9,7,,0,0,0,0,3,4.76,/mlb/rays-vs-rockies-prediction-odds-2026-08-04/
2026-08-04,824084,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Kansas City Royals,0,0,0,Minnesota Twins,5,0,6.75,1.8,Minnesota Twins,4.7,2,-2.7,Kansas City Royals,2.3,8,5.7,0,3,10.13,0,1,2.25,/mlb/twins-vs-royals-prediction-odds-2026-08-04/
2026-08-04,824888,Miami Marlins @ Atlanta Braves,Atlanta Braves,Atlanta Braves,1,1,1,No clear pitching-plan edge,0,0,1.5,0,Miami Marlins,2.1,2,-0.1,Atlanta Braves,3.1,4,0.9,0,2,9,0,2,6,/mlb/marlins-vs-braves-prediction-odds-2026-08-04/
2026-08-04,822865,San Francisco Giants @ Texas Rangers,San Francisco Giants,Texas Rangers,0,0,0,No clear pitching-plan edge,2,1,0,3.6,San Francisco Giants,4.3,4,-0.3,Texas Rangers,3.8,5,1.2,0,3,7.36,1,3,9,/mlb/giants-vs-rangers-prediction-odds-2026-08-04/
2026-08-04,823432,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,1,1,1,Philadelphia Phillies,10,1,0,27,Washington Nationals,2.3,0,-2.3,Philadelphia Phillies,4.7,5,0.3,0,4,4.7,0,0,0,/mlb/nationals-vs-phillies-prediction-odds-2026-08-04/
