date,gamePk,model_version,line,over_price,under_price,projection,actual_total,ou_result,lean,lean_result,setup_rating,classification,matchup
7/24/2026,822707,totals-runs-v3-pitching-plan,9.5,-102,-108,12.3,5,U,2.8,L,93,research_lean,Arizona Diamondbacks @ Washington Nationals
7/24/2026,822872,totals-runs-v3-pitching-plan,7.5,-109,-105,8,9,O,0.5,,48,no_lean,Seattle Mariners @ Texas Rangers
7/24/2026,822952,totals-runs-v3-pitching-plan,7.5,-102,-113,8.2,14,O,0.7,,51,no_lean,Cleveland Guardians @ Tampa Bay Rays
7/24/2026,823031,totals-runs-v3-pitching-plan,8.5,103,-110,7.8,6,U,-0.7,,71,no_lean,Cincinnati Reds @ St. Louis Cardinals
7/24/2026,823196,totals-runs-v3-pitching-plan,8,-102,-113,6.6,13,O,-1.4,L,82,research_lean,Los Angeles Angels @ San Francisco Giants
7/24/2026,823352,totals-runs-v3-pitching-plan,8,-113,-102,9.8,5,U,1.8,L,82,research_lean,Chicago Cubs @ Pittsburgh Pirates
7/24/2026,823434,totals-runs-v3-pitching-plan,8,-102,-113,7.5,1,U,-0.5,,48,no_lean,New York Yankees @ Philadelphia Phillies
7/24/2026,823601,totals-runs-v3-pitching-plan,9,-102,-113,8.5,6,U,-0.5,,48,no_lean,Los Angeles Dodgers @ New York Mets
7/24/2026,823680,totals-runs-v3-pitching-plan,9.5,-102,100,11.4,2,U,1.9,L,70,research_lean,Athletics @ Minnesota Twins
7/24/2026,823759,totals-runs-v3-pitching-plan,8.5,-102,-110,10.3,7,U,1.8,L,75,research_lean,Colorado Rockies @ Milwaukee Brewers
7/24/2026,823843,totals-runs-v3-pitching-plan,9,-105,-110,9,6,U,0,,40,no_lean,San Diego Padres @ Miami Marlins
7/24/2026,824248,totals-runs-v3-pitching-plan,7.5,-107,100,7.6,3,U,0.1,,42,no_lean,Kansas City Royals @ Detroit Tigers
7/24/2026,824573,totals-runs-v3-pitching-plan,8.5,-115,103,9.3,14,O,0.8,,66,no_lean,Houston Astros @ Chicago White Sox
7/24/2026,824733,totals-runs-v3-pitching-plan,8.5,-107,-105,9.3,10,O,0.8,,66,no_lean,Toronto Blue Jays @ Boston Red Sox
7/24/2026,824812,totals-runs-v3-pitching-plan,9,-107,-107,10.3,13,O,1.3,,67,research_lean,Atlanta Braves @ Baltimore Orioles
7/25/2026,822704,totals-runs-v3-pitching-plan,10,-105,-109,11.1,8,U,1.1,L,71,research_lean,Arizona Diamondbacks @ Washington Nationals
7/25/2026,822869,totals-runs-v3-pitching-plan,7,-107,-107,8,8,O,1,,56,no_lean,Seattle Mariners @ Texas Rangers
7/25/2026,822948,totals-runs-v3-pitching-plan,7,-102,-102,9.6,3,U,2.6,L,87,research_lean,Cleveland Guardians @ Tampa Bay Rays
7/25/2026,823027,totals-runs-v3-pitching-plan,9,-102,-119,7.6,7,U,-1.4,W,82,research_lean,Cincinnati Reds @ St. Louis Cardinals
7/25/2026,823197,totals-runs-v3-pitching-plan,8.5,-102,-113,7.7,11,O,-0.8,,73,no_lean,Los Angeles Angels @ San Francisco Giants
7/25/2026,823355,totals-runs-v3-pitching-plan,8.5,-113,-102,9,11,O,0.5,,48,no_lean,Chicago Cubs @ Pittsburgh Pirates
