date,market,matchup,pick,price_taken,result
2026-07-06,moneyline,"New York Yankees@Tampa Bay Rays","Tampa Bay Rays",-118,L
2026-07-06,total,"New York Yankees@Tampa Bay Rays","Under 8",-110,W
2026-07-06,moneyline,"Houston Astros@Washington Nationals","Washington Nationals",-118,W
2026-07-06,total,"Houston Astros@Washington Nationals","Over 9",100,W
2026-07-06,run_line,"Houston Astros@Washington Nationals","Washington Nationals +1.5",-196,W
2026-07-06,moneyline,"New York Mets@Atlanta Braves","Atlanta Braves",-119,L
2026-07-06,run_line,"New York Mets@Atlanta Braves","Atlanta Braves -1.5",163,L
2026-07-06,moneyline,"Milwaukee Brewers@St. Louis Cardinals","Milwaukee Brewers",-109,W
2026-07-06,run_line,"Milwaukee Brewers@St. Louis Cardinals","Milwaukee Brewers -1.5",145,L
2026-07-06,total,"Arizona Diamondbacks@San Diego Padres","Over 8.5",-103,L
2026-07-06,moneyline,"Toronto Blue Jays@San Francisco Giants","San Francisco Giants",-104,W
2026-07-06,total,"Toronto Blue Jays@San Francisco Giants","Over 7.5",-115,W
2026-07-06,moneyline,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers",-250,W
2026-07-06,total,"Colorado Rockies@Los Angeles Dodgers","Over 9",-118,W
2026-07-06,run_line,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers -1.5",-114,L
2026-07-07,moneyline,"Seattle Mariners@Miami Marlins","Miami Marlins",-119,W
2026-07-07,moneyline,"Houston Astros@Washington Nationals","Washington Nationals",-130,L
2026-07-07,moneyline,"Boston Red Sox@Chicago White Sox","Boston Red Sox",113,W
2026-07-07,moneyline,"Athletics@Detroit Tigers","Detroit Tigers",-148,W
2026-07-07,moneyline,"Los Angeles Angels@Texas Rangers","Texas Rangers",-146,W
2026-07-07,moneyline,"Arizona Diamondbacks@San Diego Padres","Arizona Diamondbacks",133,L
2026-07-07,moneyline,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers",-212,L
2026-07-08,moneyline,"Atlanta Braves@Pittsburgh Pirates","Pittsburgh Pirates",101,L
2026-07-08,moneyline,"Seattle Mariners@Miami Marlins","Miami Marlins",125,W
2026-07-08,total,"Seattle Mariners@Miami Marlins","Under 8",-102,W
2026-07-08,run_line,"Seattle Mariners@Miami Marlins","Miami Marlins +1.5",-135,W
2026-07-08,total,"New York Yankees@Tampa Bay Rays","Over 3.5",-114,L
2026-07-08,run_line,"New York Yankees@Tampa Bay Rays","New York Yankees +2.5",180,L
2026-07-08,moneyline,"Chicago Cubs@Baltimore Orioles","Chicago Cubs",115,W
2026-07-08,total,"Chicago Cubs@Baltimore Orioles","Over 9.5",-107,W
2026-07-08,moneyline,"Athletics@Detroit Tigers","Detroit Tigers",-137,W
2026-07-08,total,"Athletics@Detroit Tigers","Over 9",-105,L
2026-07-08,run_line,"Athletics@Detroit Tigers","Detroit Tigers -1.5",152,W
2026-07-08,total,"Houston Astros@Washington Nationals","Under 12.5",-102,W
2026-07-08,run_line,"Houston Astros@Washington Nationals","Houston Astros +7.5",104,W
2026-07-08,moneyline,"Kansas City Royals@New York Mets","New York Mets",-140,W
2026-07-08,run_line,"Kansas City Royals@New York Mets","New York Mets -1.5",142,W
2026-07-08,moneyline,"Philadelphia Phillies@Cincinnati Reds","Cincinnati Reds",147,W
2026-07-08,total,"Philadelphia Phillies@Cincinnati Reds","Under 9.5",-102,L
2026-07-08,run_line,"Philadelphia Phillies@Cincinnati Reds","Cincinnati Reds +1.5",-107,W
2026-07-08,moneyline,"Boston Red Sox@Chicago White Sox","Boston Red Sox",106,W
2026-07-08,total,"Boston Red Sox@Chicago White Sox","Under 9",-107,W
2026-07-08,moneyline,"Milwaukee Brewers@St. Louis Cardinals","Milwaukee Brewers",-121,L
2026-07-08,total,"Milwaukee Brewers@St. Louis Cardinals","Under 8.5",-113,W
2026-07-09,moneyline,"Athletics@Detroit Tigers","Detroit Tigers",-123,-145,beat_close,83,0.8084,0.2484,W,good_process_win
2026-07-10,moneyline,"Athletics@Chicago White Sox","Chicago White Sox",-102,-102,stable,89,0.7795,0.1819,W,win_needs_more_sample
2026-07-10,moneyline,"Los Angeles Angels@Minnesota Twins","Minnesota Twins",-141,-175,beat_close,87,0.7488,0.1675,L,good_price_bad_result
2026-07-11,moneyline,"Los Angeles Angels@Minnesota Twins","Minnesota Twins",-165,-132,lost_to_close,91,0.786,0.1648,W,result_win_price_warning
2026-07-18,moneyline,"Detroit Tigers@Los Angeles Angels","Detroit Tigers",-189,-143,lost_to_close,88,0.766,0.1284,W,result_win_price_warning
2026-07-19,moneyline,"Detroit Tigers@Los Angeles Angels","Detroit Tigers",-149,250,lost_to_close,92,0.8011,0.2169,L,bad_process_loss
2026-07-19,moneyline,"Washington Nationals@Athletics","Washington Nationals",-138,-146,beat_close,90,0.741,0.173,W,good_process_win
2026-07-20,moneyline,"New York Mets@Milwaukee Brewers","Milwaukee Brewers",-136,,not_tracked,81,0.7551,0.1005,W,win_needs_more_sample
2026-07-22,moneyline,"Baltimore Orioles@Boston Red Sox","Boston Red Sox",-135,-126,lost_to_close,81,0.7296,0.1703,W,result_win_price_warning
2026-07-23,moneyline,"Tampa Bay Rays@Toronto Blue Jays","Tampa Bay Rays",-108,205,lost_to_close,94,0.7428,0.2489,L,bad_process_loss
2026-07-23,moneyline,"San Diego Padres@Atlanta Braves","Atlanta Braves",-248,-800,beat_close,85,0.7749,0.0805,W,good_process_win
2026-07-24,moneyline,"Colorado Rockies@Milwaukee Brewers","Milwaukee Brewers",-230,,not_tracked,85,0.792,0.113,L,loss_needs_review
2026-07-24,game_total,"Arizona Diamondbacks@Washington Nationals","Over 9.5",-102,,not_tracked,93,,3.2,L,official_total
2026-07-24,game_total,"Chicago Cubs@Pittsburgh Pirates","Over 8",-113,,not_tracked,82,,1.8,L,official_total
2026-07-24,pitcher_strikeouts,"Kansas City Royals@Detroit Tigers","Tarik Skubal Under 7.5",118,,not_tracked,,,-0.7,L,official_k
2026-07-24,pitcher_strikeouts,"Cleveland Guardians@Tampa Bay Rays","Shane McClanahan Under 5.5",-113,,not_tracked,,,-0.82,W,official_k
2026-07-24,pitcher_strikeouts,"Los Angeles Dodgers@New York Mets","Roki Sasaki Under 5.5",-159,,not_tracked,,,-0.96,L,official_k
2026-07-24,pitcher_strikeouts,"Los Angeles Dodgers@New York Mets","Sean Manaea Under 5.5",-150,,not_tracked,,,-1.2,W,official_k
2026-07-24,pitcher_strikeouts,"Seattle Mariners@Texas Rangers","Bryce Miller Over 5.5",-142,,not_tracked,,,1.29,L,official_k
2026-07-24,pitcher_strikeouts,"Athletics@Minnesota Twins","Jacob Lopez Under 4.5",-154,,not_tracked,,,-1.75,W,official_k
2026-07-24,game_total,"Los Angeles Angels@San Francisco Giants","Under 8",-113,,not_tracked,82,,-1.4,L,official_total
2026-07-25,game_total,"Arizona Diamondbacks@Washington Nationals","Over 9",-105,,not_tracked,93,,2.5,L,official_total
2026-07-25,game_total,"Colorado Rockies@Milwaukee Brewers","Over 9",-104,,not_tracked,83,,1.9,W,official_total
2026-07-25,game_total,"Houston Astros@Chicago White Sox","Over 8.5",-107,,not_tracked,89,,1.8,L,official_total
2026-07-26,pitcher_strikeouts,"Cleveland Guardians@Tampa Bay Rays","Parker Messick Over 4.5",-123,,not_tracked,,,0.94,W,official_k
2026-07-26,pitcher_strikeouts,"Cleveland Guardians@Tampa Bay Rays","Drew Rasmussen Over 4.5",-155,,not_tracked,,,1.32,W,official_k
2026-07-26,pitcher_strikeouts,"Toronto Blue Jays@Boston Red Sox","Ranger Suarez Over 4.5",122,,not_tracked,,,1.24,W,official_k
