game_pk,date,status,model_version,game,pick,result,model_probability,lab_score,raw_edge,clv_result,lesson_tag,pitcher_edge_team,pitcher_gap,bullpen_label,pick_side_bullpen_score,opponent_bullpen_score,in_strong_official,in_protected_by_probability_gate,in_high_bullpen_risk,in_pitcher_conflicts,in_all_moneyline
824971,2026-08-02,official_pick,multi-market-v1,Detroit Tigers @ Athletics,Detroit Tigers,W,0.7358,82,0.2248,not_tracked,win_needs_more_sample,Detroit Tigers,15,Supports LyDia side,66,70,1,0,0,0,0
824482,2026-08-05,official_pick,multi-market-v1,Athletics @ Cincinnati Reds,Cincinnati Reds,W,0.6576,81,0.0404,not_tracked,win_needs_more_sample,Cincinnati Reds,6,Elevated volatility,67,54,1,0,0,0,0
824729,2026-08-06,official_pick,multi-market-v1,Chicago White Sox @ Boston Red Sox,Boston Red Sox,W,0.6114,80,-0.0259,not_tracked,win_needs_more_sample,Boston Red Sox,18,Neutral,58,62,1,0,0,0,0
824079,2026-08-08,official_pick,multi-market-v1,Chicago Cubs @ Kansas City Royals,Chicago Cubs,L,0.6188,84,0.0046,not_tracked,loss_needs_review,Chicago Cubs,19,Supports LyDia side,80,82,1,0,1,0,0
824240,2026-08-11,official_pick,leo,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,W,0.6452,90,0.1072,not_tracked,win_needs_more_sample,Detroit Tigers,8,Supports LyDia side,56,83,1,0,0,0,0
824970,2026-08-11,official_pick,leo,Tampa Bay Rays @ Athletics,Tampa Bay Rays,W,0.6566,87,0.0369,not_tracked,win_needs_more_sample,Tampa Bay Rays,30,Elevated volatility,89,55,1,0,1,0,0
824400,2026-08-15,official_pick,leo,San Diego Padres @ Cleveland Guardians,San Diego Padres,L,0.614,84,0.1077,not_tracked,loss_needs_review,San Diego Padres,26,Supports LyDia side,58,82,1,0,0,0,0
824880,2026-08-16,official_pick,leo,Arizona Diamondbacks @ Atlanta Braves,Arizona Diamondbacks,L,0.6985,81,0.2371,not_tracked,loss_needs_review,Arizona Diamondbacks,12,Supports LyDia side,46,63,1,0,0,0,0
824477,2026-08-16,official_pick,leo,Miami Marlins @ Cincinnati Reds,Miami Marlins,W,0.7433,84,0.2127,not_tracked,win_needs_more_sample,Miami Marlins,24,Supports LyDia side,47,63,1,0,0,0,0
823590,2026-08-16,official_pick,leo,Washington Nationals @ New York Mets,New York Mets,W,0.736,82,0.1321,not_tracked,win_needs_more_sample,New York Mets,17,Supports LyDia side,52,74,1,0,0,0,0
823991,2026-08-16,official_pick,leo,Kansas City Royals @ Los Angeles Angels,Kansas City Royals,W,0.7417,81,0.2259,not_tracked,win_needs_more_sample,Kansas City Royals,25,Elevated volatility,60,66,1,0,0,0,0
824514,2026-08-17,official_pick,leo,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,W,0.7315,80,0.2186,not_tracked,win_needs_more_sample,St. Louis Cardinals,14,Supports LyDia side,53,78,1,0,0,0,0
824478,2026-08-17,official_pick,leo,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,L,0.7443,84,0.2158,not_tracked,loss_needs_review,St. Louis Cardinals,20,Supports LyDia side,53,78,1,0,0,0,0
