market,title,read
QB passing,Where the error lives,Rate is the larger source of error (49.86 yds from volume vs 55.04 from rate). Fix the rate model first; tuning the other half cannot recover this.
QB passing,Volume bias,"We OVER-project attempts by 0.05 per player (projected 29.47, actual 29.42)."
QB passing,Rate bias,"yards per attempt is under-projected by 0.08 (projected 7.18, actual 7.26)."
QB passing,Opponent adjustment is costing accuracy,"Error with the adjustment 66, without it 63.92. Removing it would be more accurate on this sample."
QB passing,Against the closing line,Beat the line on 7/26 (26.92%). Our MAE 66 vs the line's 54.69. The book is the better projection.
RB rushing,Where the error lives,Volume is the larger source of error (14.42 yds from volume vs 12.07 from rate). Fix the volume model first; tuning the other half cannot recover this.
RB rushing,Volume bias,"We OVER-project carries by 0.95 per player (projected 10.34, actual 9.39)."
RB rushing,Rate bias,"yards per carry is over-projected by 0.71 (projected 4.07, actual 3.37)."
RB rushing,Against the closing line,Beat the line on 16/44 (36.36%). Our MAE 25.3 vs the line's 19.95. The book is the better projection.
WR receiving,Where the error lives,Rate is the larger source of error (20.4 yds from volume vs 22.25 from rate). Fix the rate model first; tuning the other half cannot recover this.
WR receiving,Volume bias,"We under-project targets by 0.01 per player (projected 5.29, actual 5.3)."
WR receiving,Rate bias,"yards per target is over-projected by 0.07 (projected 8.31, actual 8.24)."
WR receiving,Against the closing line,Beat the line on 27/68 (39.71%). Our MAE 27.66 vs the line's 23.06. The book is the better projection.
