date,graded_at,game_id,matchup,away,home,week,model_version,market,status,leo_side,leo_value,market_value,edge,actual_value,result,market_result,beat_market,abs_error,brier,variance_class
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_CAR_ATL,CAR @ ATL,CAR,ATL,2,leo-nflml-v1,moneyline,pass,CAR,0.652,0.583,0.069,CAR,W,W,Y,,0.121,good_pick_won
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_CAR_ATL,CAR @ ATL,CAR,ATL,2,leo-nflml-v1,total,pass,Over,46.7,43.5,3.2,37,L,,N,9.7,,bad_pick_lost
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_CAR_ATL,CAR @ ATL,CAR,ATL,2,leo-nflml-v1,spread,pass,CAR,-5.2,-2.5,-2.7,-31,W,,Y,25.8,,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_NO_BAL,NO @ BAL,NO,BAL,2,leo-nflml-v1,moneyline,pass,NO,0.351,0.243,0.109,NO,W,L,Y,,0.421,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_NO_BAL,NO @ BAL,NO,BAL,2,leo-nflml-v1,total,pass,Over,46.8,45.5,1.3,41,L,,N,5.8,,bad_pick_lost
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_NO_BAL,NO @ BAL,NO,BAL,2,leo-nflml-v1,spread,pass,NO,5,8.5,-3.5,-7,W,,Y,12,,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_MIN_CHI,MIN @ CHI,MIN,CHI,2,leo-nflml-v1,moneyline,pass,MIN,0.466,0.343,0.124,MIN,W,L,Y,,0.285,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_MIN_CHI,MIN @ CHI,MIN,CHI,2,leo-nflml-v1,total,pass,Under,45,46.5,-1.5,12,W,,Y,33,,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_MIN_CHI,MIN @ CHI,MIN,CHI,2,leo-nflml-v1,spread,pass,MIN,1.1,4.5,-3.4,-6,W,,Y,7.1,,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_CIN_HOU,CIN @ HOU,CIN,HOU,2,leo-nflml-v1,moneyline,pass,CIN,0.487,0.428,0.059,CIN,W,L,Y,,0.263,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_CIN_HOU,CIN @ HOU,CIN,HOU,2,leo-nflml-v1,total,pass,Over,46.6,45.5,1.1,26,L,,N,20.6,,good_pick_lost
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_CIN_HOU,CIN @ HOU,CIN,HOU,2,leo-nflml-v1,spread,pass,CIN,0.4,3,-2.6,-14,W,,Y,14.4,,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_PIT_NE,PIT @ NE,PIT,NE,2,leo-nflml-v1,moneyline,pass,NE,0.794,0.664,0.131,NE,W,W,Y,,0.042,good_pick_won
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_PIT_NE,PIT @ NE,PIT,NE,2,leo-nflml-v1,total,pass,Under,38.4,41.5,-3.1,23,W,,Y,15.4,,lucky_win
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_PIT_NE,PIT @ NE,PIT,NE,2,leo-nflml-v1,spread,pass,NE,10.8,4.5,6.3,17,W,,Y,6.2,,good_pick_won
2026-09-20,2026-09-21T00:13:36.030Z,2026_02_GB_NYJ,GB @ NYJ,GB,NYJ,2,leo-nflml-v1,moneyline,pass,NYJ,0.456,0.378,0.078,GB,L,W,N,,0.208,bad_pick_lost
