date,game_pk,matchup,final_away,final_home,market,pitcher,pick,line,price,actual,result,note
2026-08-09,823513,Atlanta Braves @ New York Yankees,2,1,pitcher_strikeouts,Cam Schlittler,Over,6.5,-142,11,W,
2026-08-09,823425,Toronto Blue Jays @ Philadelphia Phillies,6,7,pitcher_strikeouts,Shane Bieber,Under,3.5,115,4,L,
2026-08-09,823835,Los Angeles Angels @ Miami Marlins,3,12,pitcher_strikeouts,Grayson Rodriguez,Under,5.5,-160,8,L,
2026-08-09,824078,Chicago Cubs @ Kansas City Royals,10,2,pitcher_strikeouts,Matthew Boyd,Under,4.5,-110,3,W,
2026-08-09,823751,Minnesota Twins @ Milwaukee Brewers,3,4,pitcher_strikeouts,Jacob Misiorowski,Under,8.5,113,9,L,
2026-08-09,823751,Minnesota Twins @ Milwaukee Brewers,3,4,pitcher_strikeouts,Connor Prielipp,Over,5.5,-102,7,W,
2026-08-09,823020,Colorado Rockies @ St. Louis Cardinals,4,7,pitcher_strikeouts,Michael McGreevy,Over,3.5,-125,4,W,
2026-08-09,823020,Colorado Rockies @ St. Louis Cardinals,4,7,pitcher_strikeouts,Michael Lorenzen,Under,3.5,-170,1,W,
2026-08-09,823104,Tampa Bay Rays @ Seattle Mariners,4,1,pitcher_strikeouts,Emerson Hancock,Under,4.5,-127,3,W,
2026-08-08,823514,Atlanta Braves @ New York Yankees,4,5,pitcher_strikeouts,Gerrit Cole,Over,5.5,-129,9,W,
2026-08-08,823514,Atlanta Braves @ New York Yankees,4,5,pitcher_strikeouts,Chris Sale,Over,7.5,-155,8,W,
2026-08-08,824726,Athletics @ Boston Red Sox,7,3,pitcher_strikeouts,Gage Jump,Over,5.5,102,11,W,
2026-08-08,823834,Los Angeles Angels @ Miami Marlins,0,7,pitcher_strikeouts,Sandy Alcantara,Under,5.5,-111,8,L,
2026-08-08,823426,Toronto Blue Jays @ Philadelphia Phillies,7,5,pitcher_strikeouts,Aaron Nola,Under,4.5,-115,8,L,
2026-08-08,822701,Cincinnati Reds @ Washington Nationals,2,8,pitcher_strikeouts,Andrew Alvarez,Over,4.5,-120,2,L,
2026-08-08,824079,Chicago Cubs @ Kansas City Royals,3,6,moneyline,,Chicago Cubs,,-170,,L,
2026-08-08,823752,Minnesota Twins @ Milwaukee Brewers,3,4,pitcher_strikeouts,Taj Bradley,Over,5.5,-151,7,W,
2026-08-08,823752,Minnesota Twins @ Milwaukee Brewers,3,4,pitcher_strikeouts,Robert Gasser,Under,4.5,-107,3,W,
2026-08-08,824565,Cleveland Guardians @ Chicago White Sox,3,6,pitcher_strikeouts,Gavin Williams,Over,7.5,-138,7,L,
2026-08-08,823021,Colorado Rockies @ St. Louis Cardinals,8,6,pitcher_strikeouts,Kyle Freeland,Over,3.5,-105,3,L,
2026-08-08,823267,Houston Astros @ San Diego Padres,2,3,pitcher_strikeouts,Michael King,Under,5.5,-155,6,L,
2026-08-08,823102,Tampa Bay Rays @ Seattle Mariners,3,2,pitcher_strikeouts,Griffin Jax,Under,5.5,-120,,VOID,
