date,game_pk,matchup,market,model_version,status,model_pick,model_value,market_value,edge,best_price,books,lab_score,result,actual_value,ml_pick_team,ml_pick_prob,ml_market_prob,kp_pitcher,kp_role,kp_expected_innings,kp_projection_raw,kp_calibration_bias,kp_k_rate_used,kp_opp_k_adjustment,kp_bullpen_game,kp_lineup_source,note
2026-09-14,824465,Los Angeles Dodgers @ Cincinnati Reds,pitcher_strikeouts,leo-kprop,official_pick,Under,3.18,4.5,-1.32,-125,6,,,,,,,Nick Lodolo,traditional_starter,5,,,,,,posted,K-props: Nick Lodolo Under 4.5
2026-09-14,823575,Baltimore Orioles @ New York Mets,pitcher_strikeouts,leo-kprop,official_pick,Over,6.3,5.5,0.8,-122,6,,,,,,,Jonah Tong,traditional_starter,5,,,,,,posted,K-props: Jonah Tong Over 5.5
2026-09-14,823575,Baltimore Orioles @ New York Mets,pitcher_strikeouts,leo-kprop,official_pick,Over,4.26,3.5,0.76,-170,6,,,,,,,Brandon Young,traditional_starter,5.6,,,,,,posted,K-props: Brandon Young Over 3.5
2026-09-14,823006,San Francisco Giants @ St. Louis Cardinals,pitcher_strikeouts,leo-kprop,official_pick,Over,6.57,5.5,1.07,134,6,,,,,,,Quinn Mathews,traditional_starter,5.1,,,,,,posted,K-props: Quinn Mathews Over 5.5
2026-09-14,824308,San Diego Padres @ Colorado Rockies,pitcher_strikeouts,leo-kprop,official_pick,Over,4.6,3.5,1.1,-135,6,,,,,,,Casey Mize,traditional_starter,5.2,,,,,,posted,K-props: Casey Mize Over 3.5
2026-09-14,824465,Los Angeles Dodgers @ Cincinnati Reds,pitcher_strikeouts,leo-kprop,official_pick,Under,3.18,4.5,-1.32,-125,6,,,,,,,Nick Lodolo,traditional_starter,5,,,,,,posted,K-props: Nick Lodolo Under 4.5
2026-09-14,823575,Baltimore Orioles @ New York Mets,pitcher_strikeouts,leo-kprop,official_pick,Over,6.3,5.5,0.8,-122,6,,,,,,,Jonah Tong,traditional_starter,5,,,,,,posted,K-props: Jonah Tong Over 5.5
2026-09-14,823575,Baltimore Orioles @ New York Mets,pitcher_strikeouts,leo-kprop,official_pick,Over,4.26,3.5,0.76,-170,6,,,,,,,Brandon Young,traditional_starter,5.6,,,,,,posted,K-props: Brandon Young Over 3.5
2026-09-14,823006,San Francisco Giants @ St. Louis Cardinals,pitcher_strikeouts,leo-kprop,official_pick,Over,6.57,5.5,1.07,134,6,,,,,,,Quinn Mathews,traditional_starter,5.1,,,,,,posted,K-props: Quinn Mathews Over 5.5
2026-09-14,824308,San Diego Padres @ Colorado Rockies,pitcher_strikeouts,leo-kprop,official_pick,Over,4.6,3.5,1.1,-135,6,,,,,,,Casey Mize,traditional_starter,5.2,,,,,,posted,K-props: Casey Mize Over 3.5
2026-09-14,824465,Los Angeles Dodgers @ Cincinnati Reds,pitcher_strikeouts,leo-kprop,official_pick,Under,3.19,4.5,-1.31,-125,6,,,,,,,Nick Lodolo,traditional_starter,5,,,,,,posted,K-props: Nick Lodolo Under 4.5
2026-09-14,823575,Baltimore Orioles @ New York Mets,pitcher_strikeouts,leo-kprop,official_pick,Over,4.26,3.5,0.76,-170,6,,,,,,,Brandon Young,traditional_starter,5.6,,,,,,posted,K-props: Brandon Young Over 3.5
2026-09-14,823575,Baltimore Orioles @ New York Mets,pitcher_strikeouts,leo-kprop,official_pick,Over,6.31,5.5,0.81,-122,6,,,,,,,Jonah Tong,traditional_starter,5,,,,,,posted,K-props: Jonah Tong Over 5.5
2026-09-14,824629,Atlanta Braves @ Chicago Cubs,pitcher_strikeouts,leo-kprop,official_pick,Under,3.21,4.5,-1.29,-142,6,,,,,,,Reynaldo López,traditional_starter,4.5,,,,,,posted,K-props: Reynaldo López Under 4.5
2026-09-14,823006,San Francisco Giants @ St. Louis Cardinals,pitcher_strikeouts,leo-kprop,official_pick,Over,6.58,5.5,1.08,134,6,,,,,,,Quinn Mathews,traditional_starter,5.1,,,,,,posted,K-props: Quinn Mathews Over 5.5
2026-09-14,824308,San Diego Padres @ Colorado Rockies,pitcher_strikeouts,leo-kprop,official_pick,Over,4.61,3.5,1.11,-135,6,,,,,,,Casey Mize,traditional_starter,5.2,,,,,,posted,K-props: Casey Mize Over 3.5
2026-09-14,824465,Los Angeles Dodgers @ Cincinnati Reds,pitcher_strikeouts,leo-kprop,official_pick,Under,3.14,4.5,-1.36,-125,6,,,,,,,Nick Lodolo,traditional_starter,5,,,,,,posted,K-props: Nick Lodolo Under 4.5
2026-09-14,822765,Detroit Tigers @ Toronto Blue Jays,pitcher_strikeouts,leo-kprop,official_pick,Under,4.8,5.5,-0.7,-142,6,,,,,,,José Soriano,traditional_starter,5.6,,,,,,posted,K-props: José Soriano Under 5.5
2026-09-14,823575,Baltimore Orioles @ New York Mets,pitcher_strikeouts,leo-kprop,official_pick,Over,4.2,3.5,0.7,-170,6,,,,,,,Brandon Young,traditional_starter,5.6,,,,,,posted,K-props: Brandon Young Over 3.5
2026-09-14,823575,Baltimore Orioles @ New York Mets,pitcher_strikeouts,leo-kprop,official_pick,Over,6.21,5.5,0.71,-122,6,,,,,,,Jonah Tong,traditional_starter,5,,,,,,posted,K-props: Jonah Tong Over 5.5
2026-09-14,824629,Atlanta Braves @ Chicago Cubs,pitcher_strikeouts,leo-kprop,official_pick,Under,3.16,4.5,-1.34,-142,6,,,,,,,Reynaldo López,traditional_starter,4.5,,,,,,posted,K-props: Reynaldo López Under 4.5
2026-09-14,823656,New York Yankees @ Minnesota Twins,pitcher_strikeouts,leo-kprop,official_pick,Over,5.83,4.5,1.33,-140,6,,,,,,,Dean Kremer,traditional_starter,5.1,,,,,,posted,K-props: Dean Kremer Over 4.5
